year,month,marketplace_name,product_name,total_orders,total_items_sold,total_revenue
2024,8,tiktok,"Gendes Sweet Aromatic 5 all varian spray Vanilla, Bubble gum, Hazelnut, Mango dan Grape",3,3,910644.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Mango 5 Miracle Bioactives Meyeimbangkan PH 50 ml,14,14,891120.00
2024,9,shopee,"Bundling  Gendes Aromatic Feminine Care 2 Wash Foam Vanilla, Bubble Gum, Grape dan Mango",8,8,887510.00
2024,10,shopee,Gendes Paket Promo Bundling Feminine Wash Foam 2 pcs dan Sweet Aromatic Feminine Care Spray 2 pcs,1,2,886400.00
2024,6,tiktok,Gendes Sweet Aromatic Feminine Care with Bubble Gum || 7 Miracle Bioactives,9,9,879712.00
2024,8,tiktok,Gendes Sweet Aromatic Care Wash Foam Bubble Gum 5 Miracle Bioactives 50 ml,6,6,876611.00
2024,10,tiktok,"Gendes Promo Bundling Aromatic Feminine Care Wash Foam Vanilla, Bubble Gum, Grape dan Mango",7,7,869446.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Grape 5 Miracle Bioactives Meyeimbangkan PH 50 ml,13,13,866158.00
2024,9,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 3 Pcs,5,5,854330.00
2024,12,tiktok,Gendes Promo Bundling Sweet Aromatic 2 Spray Beautyvaganza,7,7,849277.00
2024,11,tiktok,Gendes Sweet Aromatic Spray with Grape 7 Miracle Bioactives,14,14,849159.00
2024,11,shopee,Gendes Sweet Aromatic Feminine Care with Grape 7 Miracle Bioactives  23 ml,15,15,845362.00
2024,7,tiktok,Gendes Sweet Aromatic Feminine Care with Vanilla || 7 Miracle Bioactives,10,10,841934.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Bubble Gum 5 Miracle Bioactives Meyeimbangkan PH 50 ml,10,12,832299.00
2024,5,shopee,Gendes Sweet Aromatic Feminine Care with Hazelnut 7 Miracle Bioactives Merawat Kewanitaan 23 ml,18,18,822807.00
